game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
5d898f1e-8651-477e-ae89-28191874d18f,22,Classics IMA,Gausdal NOR,2001.04.18,4,"Carlsen,M","Hermansson,E",0-1,2064,,2400,,,,"Hermansson,E",2400,"Carlsen,M",2064,336,B12,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
3ac41ced-e8a0-453c-8109-594665838ed0,23,Classics IMA,Gausdal NOR,2001.04.19,5,"Hitzgerova,G","Carlsen,M",1-0,2255,,2064,,,,"Hitzgerova,G",2255,"Carlsen,M",2064,191,C86,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
fbe74c97-4b82-45cc-9994-bd1be467605b,24,Classics IMA,Gausdal NOR,2001.04.19,6,"Carlsen,M","Caoili,A",1/2-1/2,2064,,2140,,,,draw,,draw,,0,B43,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
85da4ee2-623f-4890-bc83-cf98dcb60bec,25,Classics IMA,Gausdal NOR,2001.04.20,7,"Petrov,M","Carlsen,M",1/2-1/2,2425,,2064,,,,draw,,draw,,0,B22,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
85ff0abe-fb92-431d-b11b-d6c49fcd54ed,26,Classics IMA,Gausdal NOR,2001.04.21,8,"Carlsen,M","Lahlum,H",1/2-1/2,2064,,2233,,,,draw,,draw,,0,C02,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
1cf374f1-2c2d-4cef-ae38-757b60f377f1,27,Classics IMA,Gausdal NOR,2001.04.22,9,"Kvisvik,B","Carlsen,M",1/2-1/2,2106,,2064,,,,draw,,draw,,0,B40,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
05dd9980-bce2-4b81-ae53-1103a40d259b,28,Nordic Championships,Bergen NOR,2001.08.04,1,"Gabrielsen,S","Carlsen,M",0-1,2280,,2084,,,,"Carlsen,M",2084,"Gabrielsen,S",2280,-196,D37,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
622621f8-a2a5-481e-bd9a-358540880f90,29,Nordic Championships,Bergen NOR,2001.08.05,2,"Carlsen,M","Thorhallsson,T",1/2-1/2,2084,,2456,,,,draw,,draw,,0,A57,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
7cad60ca-127b-40c1-9793-20e975200a9f,30,Nordic Championships,Bergen NOR,2001.08.06,3,"Nilssen,J","Carlsen,M",1-0,2333,,2084,,,,"Nilssen,J",2333,"Carlsen,M",2084,249,E05,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
77c9b8a9-5f4b-4701-b9aa-e38d5257a968,31,Nordic Championships,Bergen NOR,2001.08.07,4,"Carlsen,M","Miellet Bensan,Y",0-1,2084,,2243,,,,"Miellet Bensan,Y",2243,"Carlsen,M",2084,159,B33,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
d90b8e12-fcc2-4a61-b967-764bf3a8a22e,32,Nordic Championships,Bergen NOR,2001.08.08,5,"Stokke,K","Carlsen,M",1/2-1/2,2016,,2084,,,,draw,,draw,,0,A36,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
